"id","priority","description","source","status","implementation","tests","evidence","release_gate"
"LIC-001","MUST","exact official free upstream is pinned and checksummed.","docs/01_LICENSING_AND_UPSTREAM.md:174","complete","LICENSE;UPSTREAM.md;NOTICE;THIRD_PARTY_NOTICES.md","tools/audit-upstreams.mjs;tools/verify-release.mjs","docs/AUDIT_BASELINE.md;docs/WORDPRESS_ORG_POLICY_REVIEW.md","Gate 0"
"LIC-002","MUST","actual file-level license inventory has no unknown or incompatible production artifact.","docs/01_LICENSING_AND_UPSTREAM.md:175","complete","LICENSE;UPSTREAM.md;NOTICE;THIRD_PARTY_NOTICES.md","tools/audit-upstreams.mjs;tools/verify-release.mjs","docs/AUDIT_BASELINE.md;docs/WORDPRESS_ORG_POLICY_REVIEW.md","Gate 0"
"LIC-003","MUST","FiboSearch Pro code is absent.","docs/01_LICENSING_AND_UPSTREAM.md:176","complete","LICENSE;UPSTREAM.md;NOTICE;THIRD_PARTY_NOTICES.md","tools/audit-upstreams.mjs;tools/verify-release.mjs","docs/AUDIT_BASELINE.md;docs/WORDPRESS_ORG_POLICY_REVIEW.md","Gate 0"
"LIC-004","MUST","upstream copyright notices are preserved.","docs/01_LICENSING_AND_UPSTREAM.md:177","complete","LICENSE;UPSTREAM.md;NOTICE;THIRD_PARTY_NOTICES.md","tools/audit-upstreams.mjs;tools/verify-release.mjs","docs/AUDIT_BASELINE.md;docs/WORDPRESS_ORG_POLICY_REVIEW.md","Gate 0"
"LIC-005","MUST","user-facing branding is independent.","docs/01_LICENSING_AND_UPSTREAM.md:178","complete","LICENSE;UPSTREAM.md;NOTICE;THIRD_PARTY_NOTICES.md","tools/audit-upstreams.mjs;tools/verify-release.mjs","docs/AUDIT_BASELINE.md;docs/WORDPRESS_ORG_POLICY_REVIEW.md","Gate 0"
"LIC-006","MUST","Freemius and upstream commercial endpoints are removed.","docs/01_LICENSING_AND_UPSTREAM.md:179","complete","LICENSE;UPSTREAM.md;NOTICE;THIRD_PARTY_NOTICES.md","tools/audit-upstreams.mjs;tools/verify-release.mjs","docs/AUDIT_BASELINE.md;docs/WORDPRESS_ORG_POLICY_REVIEW.md","Gate 0"
"LIC-007","MUST","source/build instructions reproduce distributed assets.","docs/01_LICENSING_AND_UPSTREAM.md:180","complete","LICENSE;UPSTREAM.md;NOTICE;THIRD_PARTY_NOTICES.md","tools/audit-upstreams.mjs;tools/verify-release.mjs","docs/AUDIT_BASELINE.md;docs/WORDPRESS_ORG_POLICY_REVIEW.md","Gate 0"
"LIC-008","MUST","release SBOM and third-party notices match the package.","docs/01_LICENSING_AND_UPSTREAM.md:181","complete","LICENSE;UPSTREAM.md;NOTICE;THIRD_PARTY_NOTICES.md","tools/audit-upstreams.mjs;tools/verify-release.mjs","docs/AUDIT_BASELINE.md;docs/WORDPRESS_ORG_POLICY_REVIEW.md","Gate 0"
"LIC-009","MUST","a current WordPress.org policy review is documented before submission.","docs/01_LICENSING_AND_UPSTREAM.md:182","complete","LICENSE;UPSTREAM.md;NOTICE;THIRD_PARTY_NOTICES.md","tools/audit-upstreams.mjs;tools/verify-release.mjs","docs/AUDIT_BASELINE.md;docs/WORDPRESS_ORG_POLICY_REVIEW.md","Gate 0"
"LIC-010","MUST","an automated scan fails CI when prohibited upstream domains, marks, credentials, or unapproved binaries enter the release package.","docs/01_LICENSING_AND_UPSTREAM.md:183","complete","LICENSE;UPSTREAM.md;NOTICE;THIRD_PARTY_NOTICES.md","tools/audit-upstreams.mjs;tools/verify-release.mjs","docs/AUDIT_BASELINE.md;docs/WORDPRESS_ORG_POLICY_REVIEW.md","Gate 0"
"ARC-001","MUST","domain and application layers are provider-neutral.","docs/02_ARCHITECTURE.md:580","complete","plugin/starfiniti-search/src/Domain;plugin/starfiniti-search/src/Domain","tests/php/unit;tests/php/integration;tools/verify-architecture.mjs","docs/TRACEABILITY_MATRIX.md;docs/EXTENSION_POINTS.md;docs/QUALIFICATION_EVIDENCE.md","Gate 1"
"ARC-002","MUST","UI does not branch on provider IDs.","docs/02_ARCHITECTURE.md:581","complete","plugin/starfiniti-search/src/Domain;plugin/starfiniti-search/src/Domain","tests/php/unit;tests/php/integration;tools/verify-architecture.mjs","docs/TRACEABILITY_MATRIX.md;docs/EXTENSION_POINTS.md;docs/QUALIFICATION_EVIDENCE.md","Gate 1"
"ARC-003","MUST","canonical contracts are versioned and schema-validated.","docs/02_ARCHITECTURE.md:582","complete","plugin/starfiniti-search/src/Domain;plugin/starfiniti-search/src/Domain","tests/php/unit;tests/php/integration;tools/verify-architecture.mjs","docs/TRACEABILITY_MATRIX.md;docs/EXTENSION_POINTS.md;docs/QUALIFICATION_EVIDENCE.md","Gate 1"
"ARC-004","MUST","provider capability states are explicit.","docs/02_ARCHITECTURE.md:583","complete","plugin/starfiniti-search/src/Domain;plugin/starfiniti-search/src/Domain","tests/php/unit;tests/php/integration;tools/verify-architecture.mjs","docs/TRACEABILITY_MATRIX.md;docs/EXTENSION_POINTS.md;docs/QUALIFICATION_EVIDENCE.md","Gate 1"
"ARC-005","MUST","read provider and write targets are separately modeled.","docs/02_ARCHITECTURE.md:584","complete","plugin/starfiniti-search/src/Domain;plugin/starfiniti-search/src/Domain","tests/php/unit;tests/php/integration;tools/verify-architecture.mjs","docs/TRACEABILITY_MATRIX.md;docs/EXTENSION_POINTS.md;docs/QUALIFICATION_EVIDENCE.md","Gate 1"
"ARC-006","MUST","configuration is immutable, revisioned, and auditable.","docs/02_ARCHITECTURE.md:585","complete","plugin/starfiniti-search/src/Domain;plugin/starfiniti-search/src/Domain","tests/php/unit;tests/php/integration;tools/verify-architecture.mjs","docs/TRACEABILITY_MATRIX.md;docs/EXTENSION_POINTS.md;docs/QUALIFICATION_EVIDENCE.md","Gate 1"
"ARC-007","MUST","schema-affecting changes use planned, reversible operations.","docs/02_ARCHITECTURE.md:586","complete","plugin/starfiniti-search/src/Domain;plugin/starfiniti-search/src/Domain","tests/php/unit;tests/php/integration;tools/verify-architecture.mjs","docs/TRACEABILITY_MATRIX.md;docs/EXTENSION_POINTS.md;docs/QUALIFICATION_EVIDENCE.md","Gate 1"
"ARC-008","MUST","every operational surface calls the same application commands.","docs/02_ARCHITECTURE.md:587","complete","plugin/starfiniti-search/src/Domain;plugin/starfiniti-search/src/Domain","tests/php/unit;tests/php/integration;tools/verify-architecture.mjs","docs/TRACEABILITY_MATRIX.md;docs/EXTENSION_POINTS.md;docs/QUALIFICATION_EVIDENCE.md","Gate 1"
"ARC-009","MUST","architecture tests enforce dependency boundaries.","docs/02_ARCHITECTURE.md:588","complete","plugin/starfiniti-search/src/Domain;plugin/starfiniti-search/src/Domain","tests/php/unit;tests/php/integration;tools/verify-architecture.mjs","docs/TRACEABILITY_MATRIX.md;docs/EXTENSION_POINTS.md;docs/QUALIFICATION_EVIDENCE.md","Gate 1"
"ARC-010","MUST","transport policy protects restricted or dynamic catalogs.","docs/02_ARCHITECTURE.md:589","complete","plugin/starfiniti-search/src/Domain;plugin/starfiniti-search/src/Domain","tests/php/unit;tests/php/integration;tools/verify-architecture.mjs","docs/TRACEABILITY_MATRIX.md;docs/EXTENSION_POINTS.md;docs/QUALIFICATION_EVIDENCE.md","Gate 1"
"ARC-011","MUST","errors are typed, redacted, and correlated.","docs/02_ARCHITECTURE.md:590","complete","plugin/starfiniti-search/src/Domain;plugin/starfiniti-search/src/Domain","tests/php/unit;tests/php/integration;tools/verify-architecture.mjs","docs/TRACEABILITY_MATRIX.md;docs/EXTENSION_POINTS.md;docs/QUALIFICATION_EVIDENCE.md","Gate 1"
"ARC-012","MUST","extension points are documented, versioned, and tested.","docs/02_ARCHITECTURE.md:591","complete","plugin/starfiniti-search/src/Domain;plugin/starfiniti-search/src/Domain","tests/php/unit;tests/php/integration;tools/verify-architecture.mjs","docs/TRACEABILITY_MATRIX.md;docs/EXTENSION_POINTS.md;docs/QUALIFICATION_EVIDENCE.md","Gate 1"
"CAT-001","MUST","all providers consume validated canonical documents.","docs/03_CANONICAL_CATALOG_AND_SYNC.md:482","complete","plugin/starfiniti-search/src/Domain/Catalog;plugin/starfiniti-search/src/Infrastructure/WordPress/Catalog","tests/php/unit;tests/php/integration;tests/php/integration/custom-fields.php","docs/QUALIFICATION_EVIDENCE.md","Gate 2"
